run_id,run_date,model,language,product,prompt_id,prompt_set,intent,mentioned,early_mentioned,mention_count,has_error,error_type,previous_mentioned,change
20251230-231738,2025-12-30,perplexity,en,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,claude,fr,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,GUIDE,core_guide_qr_code,core,qr_code_audio_guides,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,en,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,de,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,claude,fr,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,fr,GUIDE,core_guide_app_alternative,core,app_alternative_positioning,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,LIVE,core_live_category_providers,core,category_default_providers,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,de,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,LIVE,core_live_whisper_alternatives,core,whisper_system_alternatives,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,yes,yes,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,fr,LIVE,core_live_smartphone_systems,core,smartphone_based_tours,yes,yes,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,TRANSLATE,core_translate_live_ai,core,ai_live_translation,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,TRANSLATE,core_translate_live_ai,core,ai_live_translation,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,fr,TRANSLATE,core_translate_live_ai,core,ai_live_translation,yes,no,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,TRANSLATE,core_translate_simultaneous_events,core,simultaneous_translation_events,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,en,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,TRANSLATE,core_translate_audio_guides,core,audio_guide_translation,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,MOTION,core_motion_audio_commentary,core,triggered_audio_commentary,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,en,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,yes,timeout,,baseline
20251230-231738,2025-12-30,perplexity,de,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,yes,no,2+,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,SYNC,core_sync_multilingual_video,core,synchronized_multilingual_audio,yes,no,1,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,en,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,en,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,en,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,en,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,de,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,de,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,de,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,de,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,chatgpt,fr,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,claude,fr,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,gemini,fr,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
20251230-231738,2025-12-30,perplexity,fr,GAME,core_game_interactive_guides,core,interactive_gamified_guides,no,no,0,no,no_error,,baseline
